parent,smiles_alkyl,inchikey,inchikey_short,id,smiles_aryl,smiles,reaction_smarts
LVUKARQJVGPWEM-UHFFFAOYNA-N,[H]C([H])([H])C(OC(=O)N1C([H])([H])C([H])([H])N(S(=O)(=O)C([H])([H])Br)C([H])([H])C1([H])[H])(C([H])([H])[H])C([H])([H])[H],LTPVYKRHHRXEFM-UHFFFAOYNA-N,LVUKARQJVGPWEM,core10,BrC1=CC=C(N2C=NC=C2)C=C1OC,COc1cc(-n2ccnc2)ccc1CS(=O)(=O)N1CCN(C(=O)OC(C)(C)C)CC1,CC(C)(C)OC(=O)N1CCN(S(=O)(=O)CBr)CC1.COc1cc(-n2ccnc2)ccc1Br>>COc1cc(-n2ccnc2)ccc1CS(=O)(=O)N1CCN(C(=O)OC(C)(C)C)CC1
MFYZFAHCRFTSNC-UHFFFAOYNA-N,[H]c1c(OC([H])([H])[H])c(C(=O)C([H])([H])Br)c(OC([H])([H])[H])c([H])c1C([H])([H])OC([H])([H])C([H])([H])[H],IUZMXIIHIFRNLN-UHFFFAOYNA-N,MFYZFAHCRFTSNC,core10,BrC1=CC=C(N2C=NC=C2)C=C1OC,CCOCc1cc(OC)c(C(=O)Cc2ccc(-n3ccnc3)cc2OC)c(OC)c1,CCOCc1cc(OC)c(C(=O)CBr)c(OC)c1.COc1cc(-n2ccnc2)ccc1Br>>CCOCc1cc(OC)c(C(=O)Cc2ccc(-n3ccnc3)cc2OC)c(OC)c1
MNEQGZINEZEYDO-YAQRNVERNA-N,[H]c1c([H])c(N([H])C(=O)OC(C([H])([H])[H])(C([H])([H])[H])C([H])([H])[H])c([H])c([H])c1C(=O)C([H])([H])Br,QJQXWHUJSWNSFY-LNNLXFCONA-N,MNEQGZINEZEYDO,core10,BrC1=CC=C(N2C=NC=C2)C=C1OC,COc1cc(-n2ccnc2)ccc1CC(=O)c1ccc(NC(=O)OC(C)(C)C)cc1,CC(C)(C)OC(=O)Nc1ccc(C(=O)CBr)cc1.COc1cc(-n2ccnc2)ccc1Br>>COc1cc(-n2ccnc2)ccc1CC(=O)c1ccc(NC(=O)OC(C)(C)C)cc1
NIJUFNRIEGWRMV-UHFFFAOYNA-N,[H]c1c([H])c(S(=O)(=O)c2c([H])c([H])c(C([H])([H])Br)c([H])c2[H])c([H])c([H])c1C([H])([H])[H],BXWCIOWSWLKROP-UHFFFAOYNA-N,NIJUFNRIEGWRMV,core10,BrC1=CC=C(N2C=NC=C2)C=C1OC,COc1cc(-n2ccnc2)ccc1Cc1ccc(S(=O)(=O)c2ccc(C)cc2)cc1,Cc1ccc(S(=O)(=O)c2ccc(CBr)cc2)cc1.COc1cc(-n2ccnc2)ccc1Br>>COc1cc(-n2ccnc2)ccc1Cc1ccc(S(=O)(=O)c2ccc(C)cc2)cc1
NNORCUDKGASIRG-UHFFFAOYNA-N,[H]c1c([H])c(C([H])([H])C(=O)OC([H])([H])[H])c([H])c([H])c1OC([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])Br,ZNWTVLXOJWOMQT-UHFFFAOYNA-N,NNORCUDKGASIRG,core10,BrC1=CC=C(N2C=NC=C2)C=C1OC,COC(=O)Cc1ccc(OCCCCCc2ccc(-n3ccnc3)cc2OC)cc1,COC(=O)Cc1ccc(OCCCCCBr)cc1.COc1cc(-n2ccnc2)ccc1Br>>COC(=O)Cc1ccc(OCCCCCc2ccc(-n3ccnc3)cc2OC)cc1
NOCWLAROHQZESE-UHFFFAOYNA-N,[H]c1c([H])c(OC([H])([H])c2c([H])c([H])c(F)c([H])c2F)c([H])c(C([H])([H])Br)c1[H],PIEJZWIYBWMJFT-UHFFFAOYNA-N,NOCWLAROHQZESE,core10,BrC1=CC=C(N2C=NC=C2)C=C1OC,COc1cc(-n2ccnc2)ccc1Cc1cccc(OCc2ccc(F)cc2F)c1,Fc1ccc(COc2cccc(CBr)c2)c(F)c1.COc1cc(-n2ccnc2)ccc1Br>>COc1cc(-n2ccnc2)ccc1Cc1cccc(OCc2ccc(F)cc2F)c1
NRFDZZBPGMUOQD-UHFFFAOYNA-N,[H]c1c([H])c([H])c2c(c1[H])c(C([H])([H])Br)c([H])n2C(=O)OC(C([H])([H])[H])(C([H])([H])[H])C([H])([H])[H],NFMGIYPGLWTPQQ-UHFFFAOYNA-N,NRFDZZBPGMUOQD,core10,BrC1=CC=C(N2C=NC=C2)C=C1OC,COc1cc(-n2ccnc2)ccc1Cc1cn(C(=O)OC(C)(C)C)c2ccccc12,CC(C)(C)OC(=O)n1cc(CBr)c2ccccc21.COc1cc(-n2ccnc2)ccc1Br>>COc1cc(-n2ccnc2)ccc1Cc1cn(C(=O)OC(C)(C)C)c2ccccc12
NTDPLPAGWMERRU-UHFFFAOYNA-N,[H]C([H])([H])OC(=O)[C@]([H])(Br)C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])[H],NCKUDFHSNQYGAM-QHCPKHFHNA-N,NTDPLPAGWMERRU,core10,BrC1=CC=C(N2C=NC=C2)C=C1OC,CCCCCCCCCCCC[C@H](C(=O)OC)c1ccc(-n2ccnc2)cc1OC,CCCCCCCCCCCC[C@@H](Br)C(=O)OC.COc1cc(-n2ccnc2)ccc1Br>>CCCCCCCCCCCC[C@H](C(=O)OC)c1ccc(-n2ccnc2)cc1OC
OAZFTIPKNPTDIO-UHFFFAOYNA-N,[H]c1c([H])c([H])c2c(c1[H])C(=O)N(C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])Br)C2=O,NDCQHDWNZJFSFN-UHFFFAOYNA-N,OAZFTIPKNPTDIO,core10,BrC1=CC=C(N2C=NC=C2)C=C1OC,COc1cc(-n2ccnc2)ccc1CCCCCCN1C(=O)c2ccccc2C1=O,O=C1c2ccccc2C(=O)N1CCCCCCBr.COc1cc(-n2ccnc2)ccc1Br>>COc1cc(-n2ccnc2)ccc1CCCCCCN1C(=O)c2ccccc2C1=O
OLACPKKVZSLCSI-HCKMINDGNA-N,[H]OC(=O)C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])Br,WNSVIPUCDASJIH-LBOYIXSDNA-N,OLACPKKVZSLCSI,core10,BrC1=CC=C(N2C=NC=C2)C=C1OC,COc1cc(-n2ccnc2)ccc1CCCCCCCCCCCCCCC(=O)O,O=C(O)CCCCCCCCCCCCCCBr.COc1cc(-n2ccnc2)ccc1Br>>COc1cc(-n2ccnc2)ccc1CCCCCCCCCCCCCCC(=O)O
